Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,53269.93,40984.34,66604.039,46996.953,37288.949,26472.945,37599.055,34944.289,40835.129,34092.754,42356.711,35861.301,30738.256,25615.213,63535.07,46107.383,71722.602,37599.055,59084.23,38935.125,30896.559,32227.762,37288.949,35451.457,27700.363,73106.367,73065.328,62662.605,35861.301,31331.303,23296.191,36524.797,56353.469,71722.602,37706.48,75195.125,52945.891,31767.535,31767.535,31961.957,29004.986,58240.48,31331.303,42356.711,43863.824,40821.832,67884.484,31961.957,40984.34,32787.473,40238.875,32227.762,37599.055,31961.957,36657.625,45533.465,28765.762,61476.512,37599.055,25615.213,28689.039,49008.336,40730.691,39447.43,36885.906,35861.301,31767.535,59529.473,46107.383,33420.055,34836.691,52945.891,66054.711,38121.043,52945.891,33812.082,25065.041,43863.824,52945.891,29649.699,61476.512,31961.957,31961.957,29242.549,57378.078,43341.633,42615.945,31331.303,37062.125,37062.125,32227.762,30738.256,32227.762,32787.473,24020.664,27531.863,46107.383,31767.535,25615.213
2,56935.715,45118.867,71722.602,46107.383,40984.34,35450.539,46107.383,40521.816,42615.945,42615.945,50130.082,47651.301,37910.516,34836.691,61476.512,51230.426,75183.164,45639.262,67120.109,41775.07,34464.434,42356.711,42970.348,42970.348,31331.303,80970.289,74577.898,68648.773,40984.34,40591.688,29831.16,39709.418,63535.07,74124.25,39059.691,93460.508,59529.473,38730.203,39686.316,34836.691,35861.301,63923.914,32787.473,41775.07,45812.141,42356.711,71722.602,41775.07,52218.836,41775.07,43132.758,43415.629,44474.547,41775.07,42615.945,46107.383,33420.055,69250.906,44474.547,41775.07,39747.574,57378.078,53269.93,41896.09,40730.691,36030.996,40821.832,66054.711,51230.426,42356.711,44908.199,67884.484,73065.328,49769.137,53712.938,42970.348,35235.688,38121.043,59084.23,42615.945,64455.523,42615.945,42615.945,36553.184,49953.031,49181.211,48341.645,37599.055,51886.973,40984.34,41775.07,36553.184,37599.055,45082.777,32191.102,36553.184,43863.824,38354.348,33812.082
3,61476.512,52218.836,74577.898,54004.809,43097.953,38641.938,51230.426,46996.953,43148.645,43033.559,53712.938,48341.645,44746.742,37502.031,67884.484,56466.125,84017.898,49181.211,67664.852,46193.125,44746.742,42970.348,48341.645,42970.348,39686.316,84713.422,79418.836,68648.773,46996.953,44746.742,33885.371,39179.961,74577.898,81968.68,41775.07,83550.141,64550.34,42356.711,44908.199,39959.734,41775.07,71722.602,44386.012,52638.68,51230.426,43033.559,69826.82,42970.348,53712.938,38935.125,52218.836,55861.453,45118.867,46107.383,50828.055,50828.055,39285.852,72447.102,46107.383,44281.574,38537.5,61476.512,62307.008,48341.645,40556.551,41550.547,45226.293,73771.813,54335.328,43033.559,44058.168,65652.906,75198.109,53269.93,52097.992,55351.965,39686.316,41775.07,63535.07,45221.512,67884.484,45082.777,40821.832,42615.945,68185.508,52218.836,53269.93,40984.34,42356.711,46107.383,42540.645,39686.316,43722.332,44058.168,39959.734,36436.633,63923.914,48341.645,36553.184
4,67120.109,59427.297,79904.891,53279.645,45221.512,44044.609,57440.719,51564.418,46996.953,48604.328,58240.48,57181.563,48041.328,40284.703,78839.492,59662.32,87091.727,56935.715,69826.82,51230.426,42356.711,52945.891,53263.215,47651.301,40485.145,95885.875,76845.641,73049.594,51230.426,53279.645,38433.063,39747.574,81968.68,84713.422,42356.711,102278.27,65529.781,49181.211,51139.133,38935.125,42970.348,75821.031,42356.711,51230.426,61417.234,43863.824,76242.086,43033.559,57378.078,48041.328,53269.93,53279.645,51230.426,52218.836,47942.938,54307.59,40730.691,83101.094,52218.836,47942.938,45118.867,64593.988,58240.48,51564.418,44908.199,43863.824,47942.938,74577.898,62662.605,46996.953,45952.574,74577.898,79418.836,56353.469,54307.59,53269.93,38119.75,40984.34,66599.555,52255.035,73771.813,53712.938,42970.348,46996.953,69250.906,43863.824,58596.922,42970.348,53269.93,43681.344,48710.219,39210.445,48156.602,44746.742,39007.473,38121.043,73106.367,46996.953,40984.34
5,71381.703,63923.914,85231.891,65795.734,53279.645,46996.953,59662.32,53269.93,47651.301,57440.719,62307.008,57440.719,52218.836,45082.777,68829.656,63923.914,100597.2,51886.973,78328.258,53712.938,46996.953,40984.34,58240.48,52218.836,42615.945,90860.773,82717.922,73771.813,51230.426,52218.836,42356.711,39686.316,84713.422,86683.266,42615.945,107425.88,73106.367,50130.082,56353.469,45004.008,46592.383,85940.695,46107.383,44908.199,58240.48,46592.383,79904.891,52638.68,55861.453,52945.891,53712.938,57531.523,55351.965,53263.215,54304.254,53263.215,47942.938,80569.406,53263.215,50490.16,52945.891,67120.109,73049.594,57181.563,46107.383,52218.836,47131.992,80569.406,66711.82,52218.836,47942.938,71975.336,85940.695,53712.938,64455.523,55351.965,42615.945,50828.055,66599.555,48668.906,70947.492,47942.938,44908.199,50205.82,78328.258,46344.84,61476.512,47651.301,69673.383,42356.711,49181.211,40984.34,51230.426,44746.742,41775.07,42970.348,72254.547,52218.836,46996.953
6,75198.109,72747.203,88772.023,60158.488,52945.891,49181.211,63535.07,55063.727,45952.574,52945.891,64751.355,57440.719,56122.645,45118.867,78328.258,67770.742,96683.289,64455.523,76845.641,53712.938,55351.965,61417.234,61618.227,46592.383,50130.082,97420.438,85940.695,79418.836,59299.398,58276.223,46193.125,41775.07,96683.289,88772.023,42970.348,128076.07,79904.891,52945.891,62662.605,44746.742,51564.418,92125.852,50130.082,53712.938,60573.852,47651.301,83550.141,53712.938,67678.297,57440.719,53269.93,64455.523,56353.469,60358.316,58240.48,61476.512,40984.34,84713.422,63923.914,52218.836,44908.199,66604.039,66711.82,63535.07,50205.82,51139.133,55400.727,85231.891,75198.109,58402.688,47942.938,81461.383,87890.18,52945.891,61417.234,62662.605,47942.938,57440.719,69973.242,56122.645,79418.836,52218.836,48041.328,53712.938,76239.5,60358.316,69250.906,51230.426,48341.645,46107.383,44474.547,40984.34,53269.93,45952.574,40984.34,42144.93,78328.258,60158.488,35822.121
7,79418.836,70316.305,94820.477,66599.555,55351.965,52945.891,66599.555,51139.133,48341.645,53279.645,69250.906,84017.898,56935.715,52945.891,102348.92,74124.25,102460.85,69673.383,83550.141,61618.227,51139.133,62662.605,67120.109,61476.512,53269.93,102460.85,94263.984,90558.883,63535.07,59529.473,46414.766,43863.824,96683.289,95885.875,44746.742,137659.31,77870.25,55861.453,54004.809,52218.836,53175.809,99082.07,52945.891,60727.719,58240.48,49415.902,87091.727,51230.426,64455.523,52218.836,55861.453,57181.563,59084.23,58596.922,56935.715,61476.512,46107.383,102348.92,59662.32,51564.418,59084.23,69826.82,68648.773,66599.555,51230.426,56122.645,55400.727,92214.766,74124.25,61476.512,49541.035,95302.602,93993.906,62662.605,61476.512,72006.414,53269.93,53269.93,73106.367,55063.727,78839.492,59084.23,45952.574,53279.645,83550.141,64455.523,71975.336,52638.68,63535.07,44058.168,47942.938,41297.793,55400.727,44474.547,46996.953,44474.547,84713.422,61476.512,51886.973
8,83550.141,75821.031,102460.85,74124.25,49085.707,52945.891,67884.484,60573.852,51230.426,65574.945,73106.367,74123.852,61476.512,58402.688,95302.602,78328.258,102054.58,62307.008,87091.727,64455.523,50828.055,59427.297,69826.82,61476.512,54335.328,100980.32,95302.602,92386.25,64455.523,63535.07,50086.813,46193.125,100260.16,101304.54,44746.742,148248.5,90008.016,55351.965,59662.32,50205.82,61476.512,99215.789,59084.23,60727.719,67884.484,47942.938,90008.016,56935.715,66054.711,58240.48,66604.039,68648.773,53269.93,62662.605,63535.07,65795.734,46996.953,92125.852,65652.906,55351.965,50130.082,86067.117,74123.852,73512.5,51564.418,57440.719,69888.578,88428.086,81968.68,61476.512,51139.133,84713.422,97127.039,62662.605,67884.484,69250.906,53279.645,58596.922,71722.602,61476.512,91311.992,53269.93,50205.82,53712.938,96082.656,59299.398,76845.641,55400.727,79418.836,50130.082,50490.16,43033.559,60158.488,47651.301,42356.711,47267.383,95038.281,57440.719,47410.238
9,83550.141,81968.68,104203.09,82035.688,56353.469,57440.719,74577.898,75195.125,51139.133,62662.605,76845.641,74123.852,67120.109,52945.891,107583.9,78328.258,106351.62,71722.602,95302.602,64751.355,48341.645,73106.367,75198.109,62662.605,51230.426,106539.86,103393.3,96683.289,69250.906,71381.703,51564.418,43863.824,107583.9,101656.11,44058.168,179306.5,88772.023,61476.512,61618.227,49769.137,64593.988,106539.86,57440.719,58596.922,72006.414,48341.645,96313.203,61476.512,74124.25,53269.93,67884.484,64455.523,58596.922,64455.523,67770.742,74577.898,42356.711,102460.85,78328.258,53263.215,58009.973,94534.766,83550.141,76845.641,54304.254,58596.922,58240.48,96683.289,83550.141,63923.914,53263.215,97337.813,104409.06,64550.34,63923.914,70697.992,58596.922,58240.48,74796.422,49181.211,88772.023,66599.555,50828.055,59084.23,95302.602,55861.453,85231.891,58596.922,69250.906,51884.91,53712.938,47651.301,64455.523,46517.227,49008.336,56466.125,92689.68,59662.32,51780.906
10,88772.023,82993.289,100260.16,83550.141,58240.48,52945.891,76845.641,72447.102,55400.727,74124.25,80970.289,83101.094,73106.367,58596.922,99387.031,84713.422,119058.95,82993.289,99215.789,64455.523,50073.734,68928.867,81968.68,63525.73,62476.152,117193.84,104437.67,99906.063,67884.484,69826.82,58240.48,44474.547,117539.88,107425.88,48041.328,127847.83,93184.766,66604.039,68829.656,50490.16,67884.484,106539.86,61476.512,64751.355,61476.512,51564.418,102054.58,57440.719,81968.68,66599.555,69973.242,74124.25,63535.07,67884.484,63706.98,79904.891,59084.23,107425.88,62858.516,63525.73,64751.355,81968.68,104510.07,75821.031,46996.953,59529.473,61417.234,102460.85,93755.078,75198.109,50828.055,92214.766,105891.78,68829.656,69826.82,71381.703,54335.328,58402.688,74577.898,66599.555,92214.766,59427.297,55861.453,61793.117,95885.875,66604.039,83550.141,63923.914,73106.367,55861.453,58596.922,46193.125,69250.906,53269.93,58596.922,50606.434,104437.67,71017.617,51230.426
11,92214.766,88772.023,107425.88,84713.422,74577.898,67905.375,84017.898,64455.523,52945.891,79418.836,83550.141,81643.664,75195.125,58240.48,117193.84,85231.891,117829.98,84713.422,100980.32,71722.602,51564.418,90860.773,80569.406,63535.07,61476.512,121775.55,106539.86,106539.86,73771.813,73771.813,61476.512,44908.199,131044.02,105474.46,47651.301,112792.69,100597.2,68829.656,71381.703,54787.195,71722.602,116480.96,72447.102,68648.773,79418.836,49769.137,106539.86,60158.488,87014.961,61476.512,71722.602,69826.82,68829.656,75195.125,68752.563,76708.695,46996.953,107583.9,67884.484,56396.344,71722.602,85231.891,118168.46,79904.891,52218.836,63525.73,63923.914,114363.13,88772.023,74150.75,52945.891,96683.289,106539.86,63535.07,71975.336,78359.922,63535.07,64455.523,76845.641,65652.906,93993.906,74124.25,55351.965,68829.656,97337.813,68829.656,90008.016,63525.73,76845.641,60158.488,58914.992,48156.602,66054.711,48341.645,63535.07,59084.23,91311.992,63923.914,57440.719
